sim_time,real_time,truck_id,mode,SOC(%),position(m),velocity(km/h)
101.327,1.76008e+09,truck2,FV2,99.9142,0.044684,0.630101.101.407,1.76008e+09,truck2,FV2,99.914,0.0464363,0.642101.101.507,1.76008e+09,truck2,FV2,99.9139,0.0482223,0.65101.5101.587,1.76008e+09,truck2,FV2,99.9138,0.050042,0.66101.6101.667,1.76008e+09,truck2,FV2,99.9136,0.0518954,0.101.727101.847,1.76008e+09,truck2,FV2,99.9135,0.0537825,0.691489
101.927,1.76008e+09,truck2,FV2,99.9134,0.0557033,0.703621
102.027,1.76008e+09,truck2,FV2,99.9133,0.0576578102.067,1.102.107,1.76008e+09,truck2,FV2,99.9131,0.059646102.167,1.102.187,1.76008e+09,truck2,FV2,99.913,0.0616679102.247,1.102.287,1.76008e+09,truck2,FV2,99.9129,0.063723102.327,1.7102.367,1.76008e+09,truck2,FV2,99.9128,0.065102.427,1.7600102.547,1.76008e+09,truck2,FV2,99.9127,0.0679358,0.776409
102.627,1.76008e+09,truck2,FV2,99.9126,0.0700925,0.788541
102.727,1.76008e+09,truck2,FV2,99.9125,0102.767,1.76008e+0102.807,1.76008e+09,truck2,FV2,99.9123,102.867,1.76008e+0102.887,1.76008e+09,truck2,FV2,99.9122,102.947,1.76008e+09102.987,1.76008e+09,truck2,FV2,99.912103.027,1.76008e+09,t103.067,1.76008e+09,truck2,FV2,99.91103.127,1.76008e+09,t103.247,1.76008e+09,truck2,FV2,99.9119,0.0837403,0.861329
103.327,1.76008e+09,truck2,FV2,99.9118,0.0861329,0.87346
103.427,1.76008e+09,truck2,FV2,99.9103.467,1.76008e+09,tru103.507,1.76008e+09,truck2,FV2,99.103.567,1.76008e+09,truc103.587,1.76008e+09,truck2,FV2,99103.647,1.76008e+09,truck103.687,1.76008e+09,truck2,FV2,9103.727,1.76008e+09,truck0103.767,1.76008e+09,truck2,FV2103.827,1.76008e+09,truck0,L103.947,1.76008e+09,truck2,FV2,99.9112,0.101196,0.946249
104.027,1.76008e+09,truck2,FV104.087,1.76008e+09,truck0,104.107,1.76008e+09,truck2,FV104.167,1.76008e+09,truck0,104.207,1.76008e+09,truck2,FV104.247,1.76008e+09,truck0,L104.287,1.76008e+09,truck2,F104.347,1.76008e+09,truck0,LV104.367,1.76008e+09,truck2,104.427,1.76008e+09,truck0,LV104.467,1.76008e+09,truck2,104.507,1.76008e+09,truck0,LV104.627,1.76008e+09,truck2,FV2,99.9105,0.120303,1.03117
104.727,1.76008e+09,truck2104.767,1.76008e+09,truck0,LV104.807,1.76008e+09,truck2,104.867,1.76008e+09,truck0,LV104.907,1.76008e+09,truck104.947,1.76008e+09,truck0,LV,9104.987,1.76008e+09,truc105.047,1.76008e+09,truck0,LV,99105.067,1.76008e+09,tru105.127,1.76008e+09,truck0,LV,9105.167,1.76008e+09,truc105.207,1.76008e+09,truck0,LV,99105.327,1.76008e+09,truck2,FV2,99.9098,0.141061,1.11609
105.427,1.76008e+09,tr105.467,1.76008e+09,truck0,LV,99.9105.507,1.76008e+09105.567,1.76008e+09,truck0,LV,99.9099105.607,1.76008e+105.647,1.76008e+09,truck0,LV,99.9098,0105.687,1.76008e105.747,1.76008e+09,truck0,LV,99.9097,0.105.767,1.76008105.827,1.76008e+09,truck0,LV,99.9095,0.1105.867,1.760105.907,1.76008e+09,truck0,LV,99.9094,0.154106.027,1.76008e+09,truck2,FV2,99.909,0.163471,1.20101
106.127,1.76106.167,1.76008e+09,truck0,LV,99.9092,0.1605106.207,1.7106.267,1.76008e+09,truck0,LV,99.9091,0.16382106.287,1.106.347,1.76008e+09,truck0,LV,99.909,0.16710106.387,1.106.427,1.76008e+09,truck0,LV,99.9088,0.170409106.467,1106.527,1.76008e+09,truck0,LV,99.9084,0.17375,1106.647,1.76008e+09,truck2,FV2,99.9084,0.183993,1.2738
106.727106.787,1.76008e+09,truck0,LV,99.9081,0.180469,1.106.80106.867,1.76008e+09,truck0,LV,99.9084,0.183782,1.1106.9106.967,1.76008e+09,truck0,LV,99.9083,0.187064,1.1106.9107.047,1.76008e+09,truck0,LV,99.9085,0.190379,1.18107.107.127,1.76008e+09,truck0,LV,99.9088,0.193664,1.194107107.227,1.76008e+09,truck0,LV,99.9085,0.196982,1.2066107.347,1.76008e+09,truck2,FV2,99.9076,0.209469,1.35872
1107.487,1.76008e+09,truck0,LV,99.9087,0.203654,1.20758
107.567,1.76008e+09,truck0,LV,99.9088,0.207009,1.19639
