Step,pos_front,vel_front,Speed,Position,SOC,Throttle,Brake
261,524,20.8,7.22814,85.0535,99.694,1,0
262,526,20.8,7.25877,85.7778,99.6939,1,0
263,528,20.8,7.28941,86.5052,99.6937,1,0
264,530,20.8,7.32004,87.2357,99.6936,1,0
265,532,20.8,7.35068,87.9693,99.6934,1,0
266,534,20.8,7.38131,88.7059,99.6932,1,0
267,536,20.8,7.41194,89.4455,99.6931,1,0
268,538,20.8,7.44258,90.1882,99.6929,1,0
269,540,20.8,7.47321,90.934,99.6927,1,0
270,542,20.8,7.50385,91.6829,99.6925,1,0
271,544,20.8,7.53448,92.4348,99.6923,1,0
272,546,20.8,7.56512,93.1898,99.692,1,0
273,548,20.8,7.59575,93.9478,99.6918,1,0
274,550,20.8,7.62639,94.7089,99.6916,1,0
275,552,20.8,7.65702,95.4731,99.6913,1,0
276,554,20.8,7.68766,96.2403,99.6911,1,0
277,556,20.8,7.71829,97.0106,99.6908,1,0
278,558,20.8,7.74893,97.784,99.6906,1,0
279,560,20.8,7.77956,98.5604,99.6903,1,0
280,562,20.8,7.8102,99.3399,99.69,1,0
281,564,20.8,7.84083,100.122,99.6897,1,0
282,566,20.8,7.87147,100.908,99.6894,1,0
283,568,20.8,7.9021,101.697,99.6891,1,0
284,570,20.8,7.93274,102.488,99.6888,1,0
285,572,20.8,7.96337,103.283,99.6885,1,0
286,574,20.8,7.99401,104.081,99.6882,1,0
287,576,20.8,8.02464,104.882,99.6879,1,0
288,578,20.8,8.05528,105.686,99.6876,1,0
289,580,20.8,8.08591,106.493,99.6872,1,0
290,582,20.8,8.11655,107.303,99.6869,1,0
291,584,20.8,8.14718,108.116,99.6865,1,0
292,586,20.8,8.17782,108.933,99.6862,1,0
293,588,20.8,8.20845,109.752,99.6858,1,0
294,590,20.8,8.23909,110.574,99.6854,1,0
295,592,20.8,8.26972,111.4,99.6851,1,0
296,594,20.8,8.30036,112.228,99.6847,1,0
297,596,20.8,8.33099,113.06,99.6843,1,0
298,598,20.8,8.36162,113.895,99.6839,1,0
299,600,20.8,8.39226,114.732,99.6835,1,0
300,602,20.8,8.42289,115.573,99.6831,1,0
301,604,20.8,8.45353,116.417,99.6827,1,0
302,606,20.8,8.48416,117.264,99.6823,1,0
303,608,20.8,8.5148,118.114,99.6818,1,0
304,610,20.8,8.54543,118.967,99.6814,1,0
305,612,20.8,8.57607,119.823,99.681,1,0
306,614,20.8,8.6067,120.682,99.6805,1,0
307,616,20.8,8.63734,121.544,99.6801,1,0
308,618,20.8,8.66797,122.409,99.6796,1,0
309,620,20.8,8.69861,123.278,99.6792,1,0
310,622,20.8,8.72924,124.149,99.6787,1,0
311,624,20.8,8.75988,125.024,99.6783,1,0
312,626,20.8,8.79051,125.901,99.6778,1,0
313,628,20.8,8.82115,126.782,99.6773,1,0
314,630,20.8,8.85178,127.665,99.6768,1,0
315,632,20.8,8.88242,128.552,99.6763,1,0
316,634,20.8,8.91305,129.442,99.6758,1,0
317,636,20.8,8.94369,130.335,99.6754,1,0
318,638,20.8,8.97432,131.23,99.6748,1,0
319,640,20.8,9.00496,132.129,99.6743,1,0
320,642,20.8,9.03559,133.031,99.6738,1,0
321,644,20.8,9.06623,133.937,99.6733,1,0
322,646,20.8,9.09686,134.845,99.6728,1,0
323,648,20.8,9.1275,135.756,99.6723,1,0
324,650,20.8,9.15813,136.67,99.6717,1,0
325,652,20.8,9.18877,137.588,99.6712,1,0
326,654,20.8,9.2194,138.508,99.6706,1,0
327,656,20.8,9.25003,139.431,99.6701,1,0
328,658,20.8,9.28067,140.358,99.6695,1,0
329,660,20.8,9.3113,141.288,99.669,1,0
330,662,20.8,9.34194,142.22,99.6684,1,0
331,664,20.8,9.37257,143.156,99.6679,1,0
332,666,20.8,9.40321,144.095,99.6673,1,0
333,668,20.8,9.43384,145.037,99.6667,1,0
334,670,20.8,9.46448,145.982,99.6661,1,0
335,672,20.8,9.49511,146.93,99.6655,1,0
336,674,20.8,9.52575,147.881,99.665,1,0
337,676,20.8,9.55638,148.835,99.6644,1,0
338,678,20.8,9.58702,149.792,99.6638,1,0
339,680,20.8,9.61765,150.752,99.6632,1,0
340,682,20.8,9.64829,151.715,99.6626,1,0
341,684,20.8,9.67892,152.682,99.6619,1,0
342,686,20.8,9.70956,153.651,99.6613,1,0
343,688,20.8,9.74019,154.624,99.6607,1,0
344,690,20.8,9.77083,155.599,99.6601,1,0
345,692,20.8,9.80146,156.578,99.6595,1,0
346,694,20.8,9.8321,157.559,99.6588,1,0
347,696,20.8,9.86273,158.544,99.6582,1,0
348,698,20.8,9.89337,159.532,99.6575,1,0
349,700,20.8,9.924,160.523,99.6569,1,0
350,702,20.8,9.95464,161.517,99.6562,1,0
351,704,20.8,9.98527,162.514,99.6556,1,0
352,706,20.8,10.0159,163.514,99.6549,1,0
353,708,20.8,10.0465,164.517,99.6543,1,0
354,710,20.8,10.0772,165.523,99.6536,1,0
355,712,20.8,10.1078,166.532,99.6529,1,0
356,714,20.8,10.1384,167.545,99.6522,1,0
357,716,20.8,10.1691,168.56,99.6516,1,0
358,718,20.8,10.1997,169.579,99.6509,1,0
359,720,20.8,10.2303,170.6,99.6502,1,0
360,722,20.8,10.261,171.625,99.6495,1,0
361,724,20.8,10.2916,172.652,99.6488,1,0
362,726,20.8,10.3223,173.683,99.6481,1,0
363,728,20.8,10.3529,174.717,99.6474,1,0
364,730,20.8,10.3835,175.754,99.6467,1,0
365,732,20.8,10.4142,176.793,99.646,1,0
366,734,20.8,10.4448,177.836,99.6452,1,0
367,736,20.8,10.4754,178.882,99.6445,1,0
368,738,20.8,10.5061,179.931,99.6438,1,0
369,740,20.8,10.5367,180.984,99.6431,1,0
370,742,20.8,10.5673,182.039,99.6423,1,0
371,744,20.8,10.598,183.097,99.6416,1,0
372,746,20.8,10.6286,184.158,99.6409,1,0
373,748,20.8,10.6592,185.223,99.6401,1,0
374,750,20.8,10.6899,186.29,99.6394,1,0
375,752,20.8,10.7205,187.361,99.6386,1,0
376,754,20.8,10.7511,188.434,99.6379,1,0
377,756,20.8,10.7818,189.511,99.6371,1,0
378,758,20.8,10.8124,190.591,99.6363,1,0
379,760,20.8,10.843,191.673,99.6356,1,0
380,762,20.8,10.8737,192.759,99.6348,1,0
381,764,20.8,10.9043,193.848,99.634,1,0
382,766,20.8,10.935,194.94,99.6332,1,0
383,768,20.8,10.9656,196.035,99.6324,1,0
384,770,20.8,10.9962,197.133,99.6317,1,0
385,772,20.8,11.0269,198.234,99.6309,1,0
386,774,20.8,11.0575,199.339,99.6301,1,0
387,776,20.8,11.0881,200.446,99.6293,1,0
388,778,20.8,11.1188,201.556,99.6285,1,0
389,780,20.8,11.1494,202.67,99.6277,1,0
390,782,20.8,11.18,203.786,99.6268,1,0
391,784,20.8,11.2107,204.906,99.626,1,0
392,786,20.8,11.2413,206.028,99.6252,1,0
393,788,20.8,11.2719,207.154,99.6244,1,0
394,790,20.8,11.3026,208.283,99.6236,1,0
395,792,20.8,11.3332,209.414,99.6227,1,0
396,794,20.8,11.3638,210.549,99.6219,1,0
397,796,20.8,11.3945,211.687,99.6211,1,0
398,798,20.8,11.4251,212.828,99.6202,1,0
399,800,20.8,11.4557,213.972,99.6194,1,0
400,802,20.8,11.4864,215.119,99.6185,1,0
401,804,20.8,11.517,216.27,99.6177,1,0
402,806,20.8,11.5476,217.423,99.6168,1,0
403,808,20.8,11.5783,218.579,99.616,1,0
404,810,20.8,11.6089,219.738,99.6151,1,0
405,812,20.8,11.6396,220.901,99.6142,1,0
406,814,20.8,11.6702,222.066,99.6134,1,0
