Step,TargetSpeed,pos_follow,Speed,Position,SOC
197,75,35.4363,4.89009,47.4363,99.4477
198,75,35.9229,4.91491,47.9229,99.4465
199,75,36.4119,4.93973,48.4119,99.4453
200,75,36.9034,4.96456,48.9034,99.444
201,75,37.3973,4.98938,49.3973,99.4428
202,75,37.8938,5.0142,49.8938,99.4415
203,75,38.3927,5.03903,50.3927,99.4401
204,75,38.8942,5.06385,50.8942,99.4388
205,75,39.3981,5.08867,51.3981,99.4374
206,75,39.9044,5.11349,51.9044,99.4361
207,75,40.4133,5.13832,52.4133,99.4346
208,75,40.9247,5.16314,52.9247,99.4332
209,75,41.4385,5.18796,53.4385,99.4318
210,75,41.9548,5.21278,53.9548,99.4303
211,75,42.4736,5.23761,54.4736,99.4288
212,75,42.9949,5.26243,54.9949,99.4273
213,75,43.5186,5.28725,55.5186,99.4258
214,75,44.0449,5.31208,56.0449,99.4242
215,75,44.5736,5.3369,56.5736,99.4227
216,75,45.1048,5.36172,57.1048,99.4211
217,75,45.6385,5.38654,57.6385,99.4195
218,75,46.1747,5.41137,58.1747,99.4178
219,75,46.7133,5.43619,58.7133,99.4162
220,75,47.2545,5.46101,59.2545,99.4146
221,75,47.7981,5.48584,59.7981,99.4129
222,75,48.3442,5.51066,60.3442,99.4112
223,75,48.8928,5.53548,60.8928,99.4095
224,75,49.4438,5.5603,61.4438,99.4078
225,75,49.9974,5.58513,61.9974,99.4061
226,75,50.5534,5.60995,62.5534,99.4043
227,75,51.1119,5.63477,63.1119,99.4025
228,75,51.6729,5.65959,63.6729,99.4008
229,75,52.2364,5.68442,64.2364,99.399
230,75,52.8024,5.70924,64.8024,99.3972
231,75,53.3708,5.73406,65.3708,99.3954
232,75,53.9417,5.75889,65.9417,99.3935
233,75,54.5151,5.78371,66.5151,99.3917
234,75,55.091,5.80853,67.091,99.3898
235,75,55.6694,5.83335,67.6694,99.3879
236,75,56.2502,5.85818,68.2502,99.3861
237,75,56.8336,5.883,68.8336,99.3842
238,75,57.4194,5.90782,69.4194,99.3823
239,75,58.0077,5.93265,70.0077,99.3803
240,75,58.5985,5.95747,70.5985,99.3784
241,75,59.1917,5.98229,71.1917,99.3765
242,75,59.7875,6.00711,71.7875,99.3745
243,75,60.3857,6.03194,72.3857,99.3725
244,75,60.9864,6.05676,72.9864,99.3706
245,75,61.5896,6.08158,73.5896,99.3686
246,75,62.1953,6.10641,74.1953,99.3666
247,75,62.8035,6.13123,74.8035,99.3646
248,75,63.4141,6.15605,75.4141,99.3626
249,75,64.0272,6.18087,76.0272,99.3605
250,75,64.6428,6.2057,76.6428,99.3585
251,75,65.2609,6.23052,77.2609,99.3565
252,75,65.8815,6.25534,77.8815,99.3544
253,75,66.5045,6.28016,78.5045,99.3523
254,75,67.1301,6.30499,79.1301,99.3503
255,75,67.7581,6.32981,79.7581,99.3482
256,75,68.3886,6.35463,80.3886,99.3461
257,75,69.0216,6.37946,81.0216,99.344
258,75,69.657,6.40428,81.657,99.3419
259,75,70.295,6.4291,82.295,99.3397
260,75,70.9354,6.45392,82.9354,99.3376
261,75,71.5783,6.47875,83.5783,99.3355
262,75,72.2237,6.50357,84.2237,99.3333
263,75,72.8716,6.52839,84.8716,99.3312
264,75,73.5219,6.55322,85.5219,99.329
265,75,74.1748,6.57804,86.1748,99.3269
266,75,74.8301,6.60286,86.8301,99.3247
267,75,75.4879,6.62768,87.4879,99.3225
268,75,76.1482,6.65251,88.1482,99.3203
269,75,76.811,6.67733,88.811,99.3181
270,75,77.4762,6.70215,89.4762,99.3159
271,75,78.1439,6.72697,90.1439,99.3137
272,75,78.8142,6.7518,90.8142,99.3115
273,75,79.4869,6.77662,91.4869,99.3093
274,75,80.162,6.80144,92.162,99.307
275,75,80.8397,6.82627,92.8397,99.3048
276,75,81.5198,6.85109,93.5198,99.3025
277,75,82.2025,6.87591,94.2025,99.3003
278,75,82.8876,6.90073,94.8876,99.298
279,75,83.5752,6.92556,95.5752,99.2958
280,75,84.2652,6.95038,96.2652,99.2935
281,75,84.9578,6.9752,96.9578,99.2912
282,75,85.6528,7.00003,97.6528,99.2889
283,75,86.3504,7.02485,98.3504,99.2866
284,75,87.0504,7.04967,99.0504,99.2843
285,75,87.7528,7.07449,99.7528,99.282
286,75,88.4578,7.09932,100.458,99.2797
287,75,89.1653,7.12414,101.165,99.2774
288,75,89.8752,7.14896,101.875,99.2751
289,75,90.5876,7.17378,102.588,99.2728
290,75,91.3025,7.19861,103.303,99.2704
291,75,92.0199,7.22343,104.02,99.2681
292,75,92.7397,7.24825,104.74,99.2658
293,75,93.4621,7.27308,105.462,99.2634
294,75,94.1869,7.2979,106.187,99.2611
295,75,94.9142,7.32272,106.914,99.2587
296,75,95.644,7.34754,107.644,99.2563
297,75,96.3763,7.37237,108.376,99.254
298,75,97.111,7.39719,109.111,99.2516
299,75,97.8483,7.42201,109.848,99.2492
300,75,98.588,7.44684,110.588,99.2468
301,75,99.3302,7.47166,111.33,99.2444
302,75,100.075,7.49648,112.075,99.2421
303,75,100.822,7.5213,112.822,99.2397
304,75,101.572,7.54613,113.572,99.2372
305,75,102.324,7.57095,114.324,99.2348
306,75,103.078,7.59577,115.078,99.2324
307,75,103.836,7.62059,115.836,99.23
308,75,104.595,7.64542,116.595,99.2276
309,75,105.357,7.67024,117.357,99.2252
310,75,106.122,7.69506,118.122,99.2227
311,75,106.889,7.71989,118.889,99.2203
312,75,107.658,7.74471,119.658,99.2178
313,75,108.43,7.76953,120.43,99.2154
314,75,109.205,7.79435,121.205,99.213
315,75,109.982,7.81918,121.982,99.2105
316,75,110.761,7.844,122.761,99.208
317,75,111.543,7.86882,123.543,99.2056
318,75,112.327,7.89365,124.327,99.2031
319,75,113.114,7.91847,125.114,99.2006
320,75,113.904,7.94329,125.904,99.1982
321,75,114.695,7.96811,126.695,99.1957
322,75,115.49,7.99294,127.49,99.1932
323,75,116.287,8.01776,128.287,99.1907
324,75,117.086,8.04258,129.086,99.1882
325,75,117.888,8.06741,129.888,99.1857
326,75,118.692,8.09223,130.692,99.1832
327,75,119.499,8.11705,131.499,99.1807
328,75,120.308,8.14187,132.308,99.1782
329,75,121.12,8.1667,133.12,99.1757
330,75,121.934,8.19152,133.934,99.1732
331,75,122.75,8.21634,134.75,99.1706
332,75,123.57,8.24116,135.57,99.1681
333,75,124.391,8.26599,136.391,99.1656
334,75,125.215,8.29081,137.215,99.1631
335,75,126.042,8.31563,138.042,99.1605
336,75,126.871,8.34046,138.871,99.158
337,75,127.703,8.36528,139.703,99.1554
338,75,128.537,8.3901,140.537,99.1529
339,75,129.373,8.41492,141.373,99.1503
340,75,130.212,8.43975,142.212,99.1478
341,75,131.054,8.46457,143.054,99.1452
342,75,131.898,8.48939,143.898,99.1427
343,75,132.744,8.51422,144.744,99.1401
344,75,133.593,8.53904,145.593,99.1375
345,75,134.445,8.56386,146.445,99.1349
346,75,135.298,8.58868,147.298,99.1324
347,75,136.155,8.61351,148.155,99.1298
348,75,137.014,8.63833,149.014,99.1272
349,75,137.875,8.66315,149.875,99.1246
350,75,138.739,8.68797,150.739,99.122
351,75,139.605,8.7128,151.605,99.1194
352,75,140.474,8.73762,152.474,99.1168
353,75,141.345,8.76244,153.345,99.1142
354,75,142.219,8.78727,154.219,99.1116
355,75,143.095,8.81209,155.095,99.109
356,75,143.974,8.83691,155.974,99.1064
357,75,144.855,8.86173,156.855,99.1038
358,75,145.739,8.88656,157.739,99.1011
359,75,146.625,8.91138,158.625,99.0985
360,75,147.514,8.9362,159.514,99.0959
361,75,148.405,8.96103,160.405,99.0932
362,75,149.298,8.98585,161.298,99.0906
363,75,150.195,9.01067,162.195,99.088
364,75,151.093,9.03549,163.093,99.0853
365,75,151.994,9.06032,163.994,99.0827
366,75,152.898,9.08514,164.898,99.08
367,75,153.804,9.10996,165.804,99.0774
368,75,154.712,9.13478,166.712,99.0747
369,75,155.623,9.15961,167.623,99.0721
370,75,156.537,9.18443,168.537,99.0694
371,75,157.453,9.20925,169.453,99.0667
372,75,158.371,9.23408,170.371,99.0641
373,75,159.292,9.2589,171.292,99.0614
374,75,160.216,9.28372,172.216,99.0587
375,75,161.141,9.30854,173.141,99.056
376,75,162.07,9.33337,174.07,99.0534
377,75,163.001,9.35819,175.001,99.0507
378,75,163.934,9.38301,175.934,99.048
379,75,164.87,9.40784,176.87,99.0453
380,75,165.808,9.43266,177.808,99.0426
381,75,166.749,9.45748,178.749,99.0399
382,75,167.692,9.4823,179.692,99.0372
383,75,168.638,9.50713,180.638,99.0345
384,75,169.586,9.53195,181.586,99.0318
385,75,170.537,9.55677,182.537,99.029
386,75,171.49,9.58159,183.49,99.0263
387,75,172.446,9.60642,184.446,99.0236
388,75,173.404,9.63124,185.404,99.0209
389,75,174.365,9.65606,186.365,99.0182
390,75,175.328,9.68089,187.328,99.0154
391,75,176.293,9.70571,188.293,99.0127
392,75,177.261,9.73053,189.261,99.01
393,75,178.232,9.75535,190.232,99.0072
394,75,179.205,9.78018,191.205,99.0045
395,75,180.18,9.805,192.18,99.0017
396,75,181.158,9.82982,193.158,98.999
397,75,182.139,9.85465,194.139,98.9962
398,75,183.122,9.87947,195.122,98.9935
399,75,184.107,9.90429,196.107,98.9907
400,75,185.095,9.92911,197.095,98.988
401,75,186.086,9.95394,198.086,98.9852
402,75,187.079,9.97876,199.079,98.9824
403,75,188.074,10.0036,200.074,98.9797
404,75,189.072,10.0284,201.072,98.9769
405,75,190.072,10.0532,202.072,98.9741
406,75,191.075,10.0781,203.075,98.9713
407,75,192.081,10.1029,204.081,98.9686
408,75,193.088,10.1277,205.088,98.9658
409,75,194.099,10.1525,206.099,98.963
410,75,195.111,10.1773,207.111,98.9602
411,75,196.127,10.2022,208.127,98.9574
412,75,197.144,10.227,209.144,98.9546
413,75,198.165,10.2518,210.165,98.9518
414,75,199.187,10.2766,211.187,98.949
415,75,200.212,10.3015,212.212,98.9462
416,75,201.24,10.3263,213.24,98.9434
417,75,202.27,10.3511,214.27,98.9406
418,75,203.303,10.3759,215.303,98.9378
419,75,204.338,10.4007,216.338,98.935
420,75,205.376,10.4256,217.376,98.9322
421,75,206.416,10.4504,218.416,98.9294
422,75,207.458,10.4752,219.458,98.9265
423,75,208.503,10.5,220.503,98.9237
424,75,209.551,10.5249,221.551,98.9209
425,75,210.601,10.5497,222.601,98.9181
426,75,211.653,10.5745,223.653,98.9152
427,75,212.708,10.5993,224.708,98.9124
428,75,213.766,10.6242,225.766,98.9095
429,75,214.826,10.649,226.826,98.9067
430,75,215.888,10.6738,227.888,98.9039
431,75,216.953,10.6986,228.953,98.901
432,75,218.02,10.7234,230.02,98.8982
433,75,219.09,10.7483,231.09,98.8953
434,75,220.163,10.7731,232.163,98.8925
435,75,221.237,10.7979,233.237,98.8896
436,75,222.315,10.8227,234.315,98.8868
437,75,223.394,10.8476,235.394,98.8839
438,75,224.477,10.8724,236.477,98.881
439,75,225.561,10.8972,237.561,98.8782
440,75,226.649,10.922,238.649,98.8753
441,75,227.738,10.9468,239.738,98.8724
442,75,228.831,10.9717,240.831,98.8695
443,75,229.925,10.9965,241.925,98.8667
444,75,231.023,11.0213,243.023,98.8638
445,75,232.122,11.0461,244.122,98.8609
446,75,233.224,11.071,245.224,98.858
447,75,234.329,11.0958,246.329,98.8551
448,75,235.436,11.1206,247.436,98.8522
449,75,236.546,11.1454,248.546,98.8493
450,75,237.658,11.1703,249.658,98.8464
451,75,238.772,11.1951,250.772,98.8435
452,75,239.889,11.2199,251.889,98.8406
453,75,241.009,11.2447,253.009,98.8377
454,75,242.131,11.2695,254.131,98.8348
455,75,243.255,11.2944,255.255,98.8319
456,75,244.382,11.3192,256.382,98.829
457,75,245.512,11.344,257.512,98.8261
458,75,246.643,11.3688,258.643,98.8232
459,75,247.778,11.3937,259.778,98.8202
460,75,248.915,11.4185,260.915,98.8173
461,75,250.054,11.4433,262.054,98.8144
462,75,251.196,11.4681,263.196,98.8115
463,75,252.34,11.4929,264.34,98.8085
464,75,253.487,11.5178,265.487,98.8056
465,75,254.636,11.5426,266.636,98.8026
466,75,255.788,11.5674,267.788,98.7997
467,75,256.942,11.5922,268.942,98.7968
468,75,258.099,11.6171,270.099,98.7938
469,75,259.258,11.6419,271.258,98.7909
470,75,260.42,11.6667,272.42,98.7879
471,75,261.584,11.6915,273.584,98.785
472,75,262.751,11.7164,274.751,98.782
473,75,263.92,11.7412,275.92,98.779
474,75,265.092,11.766,277.092,98.7761
475,75,266.266,11.7908,278.266,98.7731
476,75,267.443,11.8156,279.443,98.7701
477,75,268.622,11.8405,280.622,98.7672
478,75,269.803,11.8653,281.803,98.7642
479,75,270.987,11.8901,282.987,98.7612
480,75,272.174,11.9149,284.174,98.7582
481,75,273.363,11.9398,285.363,98.7552
482,75,274.554,11.9646,286.554,98.7523
483,75,275.748,11.9894,287.748,98.7493
484,75,276.945,12.0142,288.945,98.7463
485,75,278.144,12.0391,290.144,98.7433
486,75,279.345,12.0639,291.345,98.7403
487,75,280.549,12.0887,292.549,98.7373
488,75,281.755,12.1135,293.755,98.7343
489,75,282.964,12.1383,294.964,98.7313
490,75,284.176,12.1632,296.176,98.7283
491,75,285.389,12.188,297.389,98.7253
492,75,286.606,12.2128,298.606,98.7223
493,75,287.824,12.2376,299.824,98.7192
494,75,289.046,12.2625,301.046,98.7162
495,75,290.27,12.2873,302.27,98.7132
496,75,291.496,12.3121,303.496,98.7102
497,75,292.725,12.3369,304.725,98.7072
498,75,293.956,12.3617,305.956,98.7041
499,75,295.189,12.3866,307.189,98.7011
500,75,296.426,12.4114,308.426,98.6981
501,75,297.664,12.4362,309.664,98.695
502,75,298.905,12.461,310.905,98.692
503,75,300.149,12.4859,312.149,98.6889
504,75,301.395,12.5107,313.395,98.6859
505,75,302.644,12.5355,314.644,98.6828
506,75,303.895,12.5603,315.895,98.6798
507,75,305.148,12.5852,317.148,98.6767
508,75,306.404,12.61,318.404,98.6737
509,75,307.663,12.6348,319.663,98.6706
510,75,308.924,12.6596,320.924,98.6676
511,75,310.187,12.6844,322.187,98.6645
512,75,311.453,12.7093,323.453,98.6614
513,75,312.722,12.7341,324.722,98.6584
514,75,313.993,12.7589,325.993,98.6553
515,75,315.266,12.7837,327.266,98.6522
516,75,316.542,12.8086,328.542,98.6491
517,75,317.82,12.8334,329.82,98.6461
518,75,319.101,12.8582,331.101,98.643
519,75,320.385,12.883,332.385,98.6399
520,75,321.67,12.9077,333.67,98.6368
521,75,322.959,12.9324,334.959,98.6337
522,75,324.249,12.9571,336.249,98.6306
523,75,325.543,12.9818,337.543,98.6275
524,75,326.838,13.0065,338.838,98.6244
525,75,328.137,13.0311,340.137,98.6213
526,75,329.437,13.0557,341.437,98.6182
527,75,330.74,13.0803,342.74,98.6152
528,75,332.046,13.1048,344.046,98.6121
529,75,333.354,13.1294,345.354,98.609
530,75,334.664,13.1539,346.664,98.6059
531,75,335.977,13.1784,347.977,98.6027
532,75,337.293,13.2028,349.293,98.5996
533,75,338.611,13.2273,350.611,98.5965
534,75,339.931,13.2517,351.931,98.5934
