Time,Battery_SOC
72.9,98.7116
73,98.71
73.1,98.7084
73.2,98.7068
73.3,98.7052
73.4,98.7036
73.5,98.702
73.6,98.7004
73.7,98.6989
73.8,98.6973
73.9,98.6957
74,98.6941
74.1,98.6925
74.2,98.6909
74.3,98.6893
74.4,98.6877
74.5,98.6861
74.6,98.6845
74.7,98.6829
74.8,98.6813
74.9,98.6798
75,98.6782
75.1,98.6766
75.2,98.675
75.3,98.6734
75.4,98.6718
75.5,98.6702
75.6,98.6686
75.7,98.667
75.8,98.6654
75.9,98.6638
76,98.6622
76.1,98.6606
76.2,98.659
76.3,98.6575
76.4,98.6559
76.5,98.6543
76.6,98.6527
76.7,98.6511
76.8,98.6495
76.9,98.6479
77,98.6463
77.1,98.6447
77.2,98.6431
77.3,98.6415
77.4,98.6399
77.5,98.6383
77.6,98.6367
77.7,98.6352
77.8,98.6336
77.9,98.632
78,98.6304
78.1,98.6288
78.2,98.6272
78.3,98.6256
78.4,98.624
78.5,98.6224
78.6,98.6208
78.7,98.6192
78.8,98.6176
78.9,98.616
79,98.6144
79.1,98.6128
79.2,98.6113
79.3,98.6097
79.4,98.6081
79.5,98.6065
79.6,98.6049
79.7,98.6033
79.8,98.6017
79.9,98.6001
80,98.5985
80.1,98.5969
80.2,98.5953
80.3,98.5937
80.4,98.5921
80.5,98.5905
80.6,98.5889
80.7,98.5873
80.8,98.5857
80.9,98.5842
81,98.5826
81.1,98.581
81.2,98.5794
81.3,98.5778
81.4,98.5762
81.5,98.5746
81.6,98.573
81.7,98.5714
81.8,98.5698
81.9,98.5682
82,98.5666
82.1,98.565
82.2,98.5634
82.3,98.5618
82.4,98.5602
82.5,98.5586
82.6,98.557
82.7,98.5555
82.8,98.5539
82.9,98.5523
83,98.5507
83.1,98.5491
83.2,98.5475
83.3,98.5459
83.4,98.5443
83.5,98.5427
83.6,98.5411
83.7,98.5395
83.8,98.5379
83.9,98.5363
84,98.5347
84.1,98.5331
84.2,98.5315
84.3,98.5299
84.4,98.5283
84.5,98.5267
84.6,98.5251
84.7,98.5235
84.8,98.5219
84.9,98.5204
85,98.5188
85.1,98.5172
85.2,98.5156
85.3,98.514
85.4,98.5124
85.5,98.5108
85.6,98.5092
85.7,98.5076
85.8,98.506
85.9,98.5044
86,98.5028
86.1,98.5012
86.2,98.4996
86.3,98.498
86.4,98.4964
86.5,98.4948
86.6,98.4932
86.7,98.4916
86.8,98.49
86.9,98.4884
87,98.4868
87.1,98.4852
87.2,98.4836
87.3,98.482
87.4,98.4804
87.5,98.4788
87.6,98.4772
87.7,98.4757
87.8,98.4741
87.9,98.4725
88,98.4709
88.1,98.4693
88.2,98.4677
88.3,98.4661
88.4,98.4645
88.5,98.4629
88.6,98.4613
88.7,98.4597
88.8,98.4581
88.9,98.4565
89,98.4549
89.1,98.4533
89.2,98.4517
89.3,98.4501
89.4,98.4485
89.5,98.4469
89.6,98.4453
89.7,98.4437
89.8,98.4421
89.9,98.4405
90,98.4389
90.1,98.4373
90.2,98.4357
90.3,98.4341
90.4,98.4325
90.5,98.4309
90.6,98.4293
90.7,98.4277
90.8,98.4261
90.9,98.4245
91,98.4229
91.1,98.4213
91.2,98.4197
91.3,98.4181
91.4,98.4165
91.5,98.4149
91.6,98.4133
91.7,98.4117
91.8,98.4101
91.9,98.4085
92,98.4069
92.1,98.4053
92.2,98.4037
92.3,98.4022
92.4,98.4006
92.5,98.399
92.6,98.3974
92.7,98.3958
92.8,98.3942
92.9,98.3926
93,98.391
93.1,98.3894
93.2,98.3878
93.3,98.3862
93.4,98.3846
93.5,98.383
93.6,98.3814
93.7,98.3798
93.8,98.3782
93.9,98.3766
94,98.375
94.1,98.3734
94.2,98.3718
94.3,98.3702
94.4,98.3686
94.5,98.367
94.6,98.3654
94.7,98.3638
94.8,98.3622
94.9,98.3606
95,98.359
95.1,98.3574
95.2,98.3558
95.3,98.3542
95.4,98.3526
95.5,98.351
95.6,98.3494
95.7,98.3478
95.8,98.3462
95.9,98.3446
96,98.343
96.1,98.3414
96.2,98.3398
96.3,98.3382
96.4,98.3366
96.5,98.335
96.6,98.3334
96.7,98.3318
96.8,98.3302
96.9,98.3286
97,98.327
97.1,98.3254
97.2,98.3238
97.3,98.3222
97.4,98.3206
97.5,98.319
97.6,98.3174
97.7,98.3158
97.8,98.3142
97.9,98.3126
98,98.311
98.1,98.3094
98.2,98.3077
98.3,98.3061
98.4,98.3045
98.5,98.3029
98.6,98.3013
98.7,98.2997
98.8,98.2981
98.9,98.2965
99,98.2949
99.1,98.2933
99.2,98.2917
99.3,98.2901
99.4,98.2885
99.5,98.2869
99.6,98.2853
99.7,98.2837
99.8,98.2821
99.9,98.2805
100,98.2789
100.1,98.2773
100.2,98.2757
100.3,98.2741
100.4,98.2725
100.5,98.2709
100.6,98.2693
100.7,98.2677
100.8,98.2661
100.9,98.2645
101,98.2629
101.1,98.2613
101.2,98.2597
101.3,98.2581
101.4,98.2565
101.5,98.2549
101.6,98.2533
101.7,98.2517
101.8,98.2501
101.9,98.2485
102,98.2469
102.1,98.2453
102.2,98.2437
102.3,98.2421
102.4,98.2405
102.5,98.2389
102.6,98.2372
102.7,98.2356
102.8,98.234
102.9,98.2324
103,98.2308
103.1,98.2292
103.2,98.2276
103.3,98.226
103.4,98.2244
103.5,98.2228
103.6,98.2212
103.7,98.2196
103.8,98.218
103.9,98.2164
104,98.2148
104.1,98.2132
104.2,98.2116
104.3,98.21
104.4,98.2084
104.5,98.2068
104.6,98.2052
104.7,98.2036
104.8,98.202
104.9,98.2004
105,98.1988
105.1,98.1972
105.2,98.1955
105.3,98.1939
105.4,98.1923
105.5,98.1907
105.6,98.1891
105.7,98.1875
105.8,98.1859
105.9,98.1843
106,98.1827
106.1,98.1811
106.2,98.1795
106.3,98.1779
106.4,98.1763
106.5,98.1747
106.6,98.1731
106.7,98.1715
106.8,98.1699
106.9,98.1683
107,98.1667
107.1,98.1651
107.2,98.1634
107.3,98.1618
107.4,98.1602
107.5,98.1586
107.6,98.157
107.7,98.1554
107.8,98.1538
107.9,98.1522
108,98.1506
108.1,98.149
108.2,98.1474
108.3,98.1458
108.4,98.1442
108.5,98.1426
108.6,98.141
108.7,98.1394
108.8,98.1378
108.9,98.1361
109,98.1345
109.1,98.1329
109.2,98.1313
109.3,98.1297
109.4,98.1281
109.5,98.1265
109.6,98.1249
109.7,98.1233
109.8,98.1217
109.9,98.1201
110,98.1185
110.1,98.1169
110.2,98.1153
110.3,98.1137
110.4,98.112
110.5,98.1104
110.6,98.1088
110.7,98.1072
110.8,98.1056
110.9,98.104
111,98.1024
111.1,98.1008
111.2,98.0992
111.3,98.0976
111.4,98.096
111.5,98.0944
111.6,98.0928
111.7,98.0912
111.8,98.0895
111.9,98.0879
112,98.0863
112.1,98.0847
112.2,98.0831
112.3,98.0815
112.4,98.0799
112.5,98.0783
112.6,98.0767
112.7,98.0751
112.8,98.0735
112.9,98.0719
113,98.0702
113.1,98.0686
113.2,98.067
113.3,98.0654
113.4,98.0638
113.5,98.0622
113.6,98.0606
113.7,98.059
113.8,98.0574
113.9,98.0558
114,98.0542
114.1,98.0525
114.2,98.0509
114.3,98.0493
114.4,98.0477
114.5,98.0461
114.6,98.0445
114.7,98.0429
114.8,98.0413
114.9,98.0397
115,98.0381
115.1,98.0365
115.2,98.0348
115.3,98.0332
115.4,98.0316
115.5,98.03
115.6,98.0284
115.7,98.0268
115.8,98.0252
115.9,98.0236
116,98.022
116.1,98.0204
116.2,98.0187
116.3,98.0171
116.4,98.0155
116.5,98.0139
116.6,98.0123
116.7,98.0107
116.8,98.0091
116.9,98.0075
117,98.0059
117.1,98.0042
117.2,98.0026
117.3,98.001
117.4,97.9994
117.5,97.9978
117.6,97.9962
117.7,97.9946
117.8,97.993
117.9,97.9914
118,97.9898
118.1,97.9882
118.2,97.9865
118.3,97.9849
118.4,97.9833
118.5,97.9817
118.6,97.9801
118.7,97.9785
118.8,97.977
118.9,97.9754
119,97.9738
119.1,97.9722
119.2,97.9706
119.3,97.969
119.4,97.9674
119.5,97.9658
119.6,97.9642
119.7,97.9626
119.8,97.9611
119.9,97.9595
120,97.9579
120.1,97.9563
120.2,97.9547
120.3,97.9531
120.4,97.9516
120.5,97.95
120.6,97.9484
120.7,97.9468
120.8,97.9453
120.9,97.9437
121,97.9421
121.1,97.9405
121.2,97.939
121.3,97.9374
121.4,97.9358
121.5,97.9343
121.6,97.9327
121.7,97.9311
121.8,97.9295
121.9,97.928
122,97.9264
122.1,97.9248
122.2,97.9233
122.3,97.9217
122.4,97.9201
122.5,97.9186
122.6,97.917
122.7,97.9155
122.8,97.9139
122.9,97.9123
123,97.9108
123.1,97.9092
123.2,97.9076
123.3,97.9061
123.4,97.9045
123.5,97.903
123.6,97.9014
123.7,97.8998
123.8,97.8983
123.9,97.8967
124,97.8952
124.1,97.8936
124.2,97.892
124.3,97.8905
124.4,97.8889
124.5,97.8874
124.6,97.8858
124.7,97.8843
124.8,97.8827
124.9,97.8811
125,97.8796
125.1,97.878
125.2,97.8765
125.3,97.8749
125.4,97.8734
125.5,97.8718
125.6,97.8703
125.7,97.8687
125.8,97.8672
125.9,97.8656
126,97.8641
126.1,97.8625
126.2,97.861
126.3,97.8594
126.4,97.8579
126.5,97.8563
126.6,97.8548
126.7,97.8532
126.8,97.8517
126.9,97.8501
127,97.8486
127.1,97.847
127.2,97.8455
127.3,97.8439
127.4,97.8424
127.5,97.8409
127.6,97.8393
127.7,97.8378
127.8,97.8362
127.9,97.8347
128,97.8332
128.1,97.8316
128.2,97.8301
128.3,97.8285
128.4,97.827
128.5,97.8255
128.6,97.8239
128.7,97.8224
128.8,97.8209
128.9,97.8194
129,97.8178
129.1,97.8163
129.2,97.8148
129.3,97.8132
129.4,97.8117
129.5,97.8102
129.6,97.8087
129.7,97.8071
129.8,97.8056
129.9,97.8041
130,97.8026
130.1,97.8011
130.2,97.7995
130.3,97.798
130.4,97.7965
130.5,97.795
130.6,97.7935
130.7,97.792
130.8,97.7904
130.9,97.7889
131,97.7874
131.1,97.7859
131.2,97.7844
131.3,97.7829
131.4,97.7814
131.5,97.7799
131.6,97.7784
131.7,97.7769
131.8,97.7754
131.9,97.7739
132,97.7724
132.1,97.7709
132.2,97.7694
132.3,97.7679
132.4,97.7664
132.5,97.7649
132.6,97.7634
132.7,97.7619
132.8,97.7604
132.9,97.7589
133,97.7574
133.1,97.7559
133.2,97.7544
133.3,97.7529
133.4,97.7514
133.5,97.7499
133.6,97.7484
133.7,97.7469
133.8,97.7454
133.9,97.7439
134,97.7424
134.1,97.7409
134.2,97.7394
134.3,97.7379
134.4,97.7364
134.5,97.7349
134.6,97.7334
134.7,97.7319
134.8,97.7304
134.9,97.7289
135,97.7274
135.1,97.7259
135.2,97.7245
135.3,97.723
135.4,97.7215
135.5,97.72
135.6,97.7185
135.7,97.717
135.8,97.7155
135.9,97.714
136,97.7125
136.1,97.711
136.2,97.7095
136.3,97.708
136.4,97.7065
136.5,97.705
136.6,97.7035
136.7,97.702
136.8,97.7005
136.9,97.699
137,97.6975
137.1,97.696
